model_version,experiment,condition,seed,cond_recover_at,config_id,PERSONALITY_WEIGHT,TRAIT_DRIFT,TRAIT_SATURATION,LANDMARK_BONUS,HARDSHIP_MAX_BOOST,FLOOR_DECAY_PER_DAY,LANDMARK_PERMANENT,GOAL_BONUS,GOAL_OFF_TASK,GOAL_SWITCH_MARGIN,GOAL_MIN_DAYS,GOAL_REFRACTORY,GOAL_STALL_DAYS,GOAL_SLACK_FOOD,GOAL_SLACK_COND,n_move,n_stay,dead_move,dead_stay,ratio_move,logratio_move,ratio_stay,goal_ratio_move,keep
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,225,26.316365,0.72914,0.240713,23.901094,20.665511,0.181784,0.49612,19.927541,9.560847,0.165045,2,12,4,6.157476,80.126753,282,224,0.06,0.2533,1.03426,0.03267,1.08944,0.98028,0.94934
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,226,25.21877,1.556077,0.560619,15.355404,11.744099,0.251333,0.622582,42.734443,11.453071,0.349846,4,10,8,2.069871,84.495939,290,260,0.0333,0.1333,1.09204,0.06771,1.42453,0.98061,0.76659
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,227,17.847353,1.142943,0.061627,17.726842,16.217602,0.316829,0.173544,41.009012,13.80019,0.436628,4,4,7,4.594891,92.244471,293,272,0.0233,0.0933,0.9688,-0.0389,1.36065,0.91535,0.71201
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,228,43.940016,0.942921,0.694496,28.680367,11.454593,0.186056,0.593369,16.320691,8.613239,0.419088,4,12,7,3.315498,69.38607,79,,0.7367,,0.94198,-0.02902,,0.89734,
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,230,19.694036,0.741046,0.861168,19.579332,12.988019,0.425293,0.548605,42.811045,16.29417,0.427576,3,7,3,7.136876,94.623136,296,271,0.0133,0.0967,0.97952,-0.02285,1.26736,0.92124,0.77288
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,229,16.885809,1.195627,0.389181,23.230174,18.738232,0.483422,0.571988,51.31704,19.175374,0.149383,4,3,6,2.461493,89.64175,294,273,0.02,0.09,0.9921,-0.01751,1.33821,0.99057,0.74136
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,231,15.509787,1.85205,0.50062,21.405052,12.588292,0.621995,0.196204,44.931879,10.756592,0.143058,3,5,2,2.997497,76.578772,296,272,0.0133,0.0933,0.98716,-0.02487,1.42743,0.90535,0.69156
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,234,31.033483,0.748302,0.838903,28.105893,13.473827,0.537526,0.443687,54.718496,10.571355,0.396431,2,12,6,2.81022,66.777056,295,276,0.0167,0.08,0.98275,-0.01427,1.36139,1.17722,0.72188
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,236,20.983969,2.245284,0.221958,46.328986,29.431135,0.193926,0.578207,36.61494,17.886315,0.356594,2,5,6,2.855822,97.940694,252,180,0.16,0.4,1.22636,0.19449,1.29703,1.06159,0.94551
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,239,28.523491,2.191313,0.265637,36.330444,25.623633,0.190557,0.219052,42.755396,9.308259,0.349865,2,5,8,2.23166,73.172494,122,65,0.5933,0.7833,1.34906,0.3043,1.1096,1.0135,1.21581
