config_id,PERSONALITY_WEIGHT,TRAIT_DRIFT,TRAIT_SATURATION,LANDMARK_BONUS,HARDSHIP_MAX_BOOST,FLOOR_DECAY_PER_DAY,LANDMARK_PERMANENT,GOAL_BONUS,GOAL_OFF_TASK,GOAL_SWITCH_MARGIN,GOAL_MIN_DAYS,GOAL_REFRACTORY,GOAL_STALL_DAYS,GOAL_SLACK_FOOD,GOAL_SLACK_COND,n_move,n_stay,dead_move,dead_stay,ratio_move,logratio_move,ratio_stay,goal_ratio_move,keep
90,25.705472,0.766228,0.809404,32.943084,29.032805,0.356423,0.714372,25.94525,15.949423,0.405487,2,8,5,2.677086,61.91993,280,222,0.0667,0.26,1.07326,0.05435,1.2539,1.01016,0.85594
89,20.31652,0.917524,0.354811,49.446073,14.603968,0.565919,0.199075,56.256364,8.993922,0.480642,2,9,7,3.814511,72.550459,288,257,0.04,0.1433,0.95473,-0.03179,1.1995,1.09394,0.79594
92,15.362636,0.701379,0.0848,14.820581,15.248319,0.219843,0.279611,19.73669,15.280083,0.131091,4,5,5,3.580461,92.958574,285,231,0.05,0.23,0.94432,-0.06091,1.09907,0.87529,0.8592
87,21.982729,1.816309,0.951697,40.167547,28.974102,0.42561,0.668639,58.803977,27.685268,0.208498,1,12,8,3.716898,61.185266,290,248,0.0333,0.1733,1.04203,0.04813,1.19232,1.03496,0.87395
95,19.312352,1.454287,0.265965,27.306273,12.199853,0.392827,0.241519,31.065387,18.516928,0.483297,1,10,3,2.196597,98.779668,283,228,0.0567,0.24,1.153,0.11154,1.29532,1.04691,0.89013
96,16.500389,2.261946,0.739961,40.03642,32.01491,0.692728,0.722006,30.913029,14.182359,0.231503,2,9,7,4.697159,98.680852,280,221,0.0667,0.2633,1.10867,0.08568,1.28911,1.09514,0.86003
97,21.076944,0.611074,0.750922,44.798687,12.647972,0.411434,0.546917,61.339074,9.173689,0.172239,1,11,8,5.172132,83.142846,295,261,0.0167,0.13,0.96023,-0.02927,1.2488,1.00706,0.76892
91,19.415884,0.682323,0.218981,26.263965,27.986282,0.565731,0.330534,35.016129,7.281203,0.196204,3,6,8,4.652137,60.185688,294,261,0.02,0.13,1.0075,0.0033,1.29892,0.96167,0.77564
94,16.418052,1.040912,0.714215,35.128956,26.145324,0.41783,0.142143,53.688313,18.122475,0.2864,4,3,3,2.74108,89.294285,292,259,0.0267,0.1367,0.99382,-0.0141,1.23612,1.05528,0.80398
100,20.359613,1.314731,0.206479,12.995176,11.279746,0.28885,0.399219,52.492842,7.578713,0.173292,4,12,4,3.674409,61.654209,292,273,0.0267,0.09,1.03038,0.01698,1.3796,0.95609,0.74687
